trigger_branch,cmatch,exp,show,click,charge,acp,ctr2,ctr3,cpm3,avg_qbq
121,223,dz,1024,39,4134,1.06,0.0380859375,0.03931451612903226,41.67338709677419,0.014027545227062605
24,222,exp,483372,48794,8452186,1.7322183055293683,0.10094502784604818,0.11510217753863355,199.38209893871235,0.9114254236304702
1014,222,exp,518666,49220,11077002,2.250508329947176,0.09489729421246043,0.10646904350910892,239.60946929875794,0.7489646224183585
1020,223,exp,6002,403,138104,3.426898263027295,0.06714428523825391,0.06886534518113466,235.99453178400546,0.9852533996417969
650,223,dz,698,17,1889,1.1111764705882354,0.024355300859598854,0.025,27.779411764705884,0.026441397839432973
6,223,exp,77796,6681,926132,1.3862176320910042,0.08587845133425884,0.09372369676224679,129.92144099657708,0.9484467715170322
603,223,exp,16295,687,88092,1.2822707423580786,0.04216017183185026,0.04790460916254097,61.42667875322502,0.0
1032,222,exp,27863,2370,790038,3.333493670886076,0.08505903886875067,0.08700440528634361,290.02863436123346,0.9100645465721995
1005,223,dz,294707,23999,3429436,1.4289912079669986,0.08143342370557877,0.09256944926597083,132.28092912741945,0.9072325089168096
1014,222,dz,551748,52416,11652282,2.2230391483516483,0.09499989125470323,0.10721605622624683,238.3454903228182,0.752152928842564
1047,223,dz,4223,235,129294,5.501872340425532,0.05564764385507933,0.056640154254037116,311.62689804772236,0.8589380652861216
660,223,exp,2,0,0,"",0.0,0.0,0.0,0.00580263135
1034,223,exp,4689,326,89164,2.735092024539877,0.06952441885263383,0.07138165097438143,195.2353842785198,0.9280712232160856
1018,222,dz,689621,64710,16507999,2.55107386802658,0.09383414948210683,0.11078980754315769,282.63298286704367,0.7347806888393393
1030,222,exp,539735,53842,11261061,2.0915012443817096,0.09975636191834882,0.1088093058410077,227.57479856677762,0.8193826009339961
1041,222,dz,9091,868,396469,4.567615207373272,0.0954790452095479,0.09767075503544503,446.1224260155283,0.9321016351342569
36,223,exp,125614,13329,2717570,2.038840123039988,0.10611078382982789,0.12129622888759464,247.30361822947,1.100000023841858
1049,222,dz,134008,13460,3690925,2.74214338781575,0.10044176467076592,0.1043685932726455,286.19364793821626,0.9090209729202349
652,222,dz,35,1,2662,26.62,0.02857142857142857,0.02857142857142857,760.5714285714286,0.1980447497117746
1018,223,exp,600042,40937,6618271,1.6166966314092388,0.06822355768429543,0.0815534947655713,131.8472602671501,0.7606178299449989
13,223,dz,84638,4672,789920,1.6907534246575342,0.05519979205557787,0.06109505564200808,103.29667455636778,0.9010435932077532
111,223,exp,1016543,86426,15216039,1.7605858190822208,0.08501952204678012,0.10245558629879106,180.38185232340618,0.9093884183040984
1044,222,dz,4,0,0,"",0.0,0.0,0.0,0.6391215100884438
1041,222,exp,8872,904,443374,4.904579646017699,0.1018935978358882,0.10449658998959657,512.5118483412323,0.9321208384604609
660,222,dz,7,0,0,"",0.0,0.0,0.0,0.008997236042857142
680,223,exp,9048,353,40256,1.1403966005665722,0.03901414677276746,0.043085560844623456,49.13462712071281,0.028364742675788528
1032,223,dz,26673,1244,290617,2.3361495176848877,0.046638923255726765,0.04807172115310302,112.30272818610403,0.8982613796565528
1033,222,dz,2217,282,98214,3.4827659574468086,0.12719891745602166,0.13055555555555556,454.69444444444446,0.9710240596918466
12,223,exp,152574,12359,2138522,1.7303357876850878,0.08100331642350597,0.09044935597189696,156.50775761124123,0.9650370433749025
1016,223,exp,2404,301,45264,1.5037873754152824,0.1252079866888519,0.12684365781710916,190.74589127686474,0.9664565476797692
653,223,dz,5,0,0,"",0.0,0.0,0.0,0.007850074660000001
1019,223,dz,231,23,4539,1.9734782608695653,0.09956709956709957,0.107981220657277,213.09859154929578,1.0239668516633496
653,223,exp,3,0,0,"",0.0,0.0,0.0,0.009963035666666667
1035,223,exp,12433,489,175968,3.598527607361963,0.039330813158529716,0.04061799152753551,146.16496386743086,0.8257067739120487
153,223,exp,452757,44899,7264590,1.6179848103521235,0.09916798635912863,0.12422358529978945,200.9918741025407,1.100000023841858
1048,223,exp,1822,90,31093,3.4547777777777777,0.04939626783754116,0.04947773501924134,170.93457943925233,0.8523659579748591
1030,223,exp,461487,34421,5105198,1.483163766305453,0.07458714980053609,0.08274616991559751,122.72612101936858,0.8280635221804558
151,223,dz,123,5,981,1.9620000000000002,0.04065040650406504,0.045871559633027525,90.0,1.100000023841858
1043,222,dz,1348,69,4121,0.5972463768115942,0.05118694362017804,0.05227272727272727,31.21969696969697,1.100000023841858
1050,222,exp,377341,37948,14096030,3.714564667439654,0.10056686127402005,0.1105855954306363,410.7773455144177,0.9373915973027317
1024,223,exp,242543,11815,2614612,2.2129597968683874,0.048713011713386906,0.05392342554094575,119.33037283153892,0.708778558250439
1042,223,exp,7813,404,91341,2.260915841584158,0.051708690643798794,0.05580881337201271,126.17903025279735,0.8581092190838591
150,223,exp,254157,26609,3855967,1.4491213499192002,0.10469512938852757,0.12338403041825095,178.79843271816748,1.100000023841858
153,223,dz,454706,44755,7367459,1.6461756228354374,0.09842623585349654,0.12347092481115887,203.25482655307692,1.100000023841858
152,223,dz,146518,15047,3522881,2.341251412241643,0.1026972795151449,0.11483542062565347,268.8585907151743,1.100000023841858
153,222,dz,586894,68419,16745526,2.447496455662901,0.11657812143249037,0.14064584562443597,344.23020866951856,1.100000023841858
1042,222,exp,2757,260,103382,3.976230769230769,0.09430540442509974,0.09800226159065209,389.6796079909536,0.8689261460380606
1035,223,dz,13241,580,238839,4.117913793103448,0.04380333811645646,0.045298344267416434,186.53467666354265,0.8255176848184523
1041,223,dz,6272,379,184575,4.870052770448549,0.060427295918367346,0.06180691454664057,301.00293542074365,0.9253916047201514
1036,223,dz,49185,1921,752558,3.917532535137949,0.03905662295415269,0.04176813358845016,163.6280222647417,0.8099853050294477
660,222,exp,12,0,0,"",0.0,0.0,0.0,0.006266593891666666
1024,222,dz,309823,23331,6135586,2.6297998371265696,0.07530428664108217,0.0825151725211142,216.99838725649695,0.7109311109075308
1044,222,exp,2,0,0,"",0.0,0.0,0.0,0.6452655121684074
6,222,dz,81894,9717,1671325,1.7200010291242154,0.11865338120008792,0.12770403469575503,219.65107110001316,0.947032718584098
24,223,dz,531368,36217,4403553,1.2158801115498246,0.06815803736769997,0.08223847044664956,99.99212062035923,0.9062748235945811
1022,223,exp,54995,2769,254554,0.9192993860599494,0.05035003182107464,0.06050475254015077,55.62198186386977,0.8743021434347382
1007,223,exp,1286,80,20296,2.537,0.06220839813374806,0.06324110671936758,160.44268774703556,0.9537415463194044
1020,222,exp,7858,725,208439,2.875020689655172,0.09226266225502673,0.09385113268608414,269.8239482200647,0.9812707366230289
121,222,dz,7087,432,145065,3.3579861111111113,0.06095668124735431,0.06283636363636363,211.00363636363636,0.012702718381031831
